entropy,file_length,max_line_length,nb_lines,eval_count,exec_count,obfuscation_count,fs_count,network_input_count,special_char_ratio,avg_var_length,long_vars_count,whitespace_ratio,label
5.618,86913,3144,1413,1,10,0,22,306,0.3013013013013013,5.309882065880439,75,0.05916261088674882,1
5.776,27559,26920,3,1,0,1,0,0,0.037737218331579524,10.0,0,0.000798287310860336,1
5.414,18949,393,640,1,1,0,6,53,0.28534487308037365,5.377828054298643,0,0.1445458863264552,1
5.202,1449,130,17,0,0,0,0,0,0.5093167701863354,2.1043478260869564,0,0.012422360248447204,1
4.634,100871,100577,9,1,2,1,3,4,0.24953653676477877,5.996763754045308,0,0.041766216256406696,1
5.946,223978,35948,4584,8,9,4,8,23,0.21503004759396013,6.2544833475661825,207,0.08661118502710087,1
6.01,44351,44223,8,1,0,2,0,0,0.03194967418998444,6.666666666666667,0,0.000766611801312259,1
5.417,193,66,10,0,0,0,0,2,0.3005181347150259,6.833333333333333,0,0.12435233160621761,1
6.097,170854,40328,2460,11,8,13,13,58,0.18735879756985496,7.072520325203252,289,0.08599154833951796,1
4.599,606,470,4,1,0,0,0,1,0.49834983498349833,6.0,0,0.0231023102310231,1
5.311,360,360,1,0,0,0,0,6,0.34444444444444444,6.833333333333333,0,0.04722222222222222,1
4.76,67,58,3,0,0,0,0,1,0.31343283582089554,9.0,0,0.05970149253731343,1
5.155,1456,126,17,0,0,0,0,0,0.5068681318681318,2.103448275862069,0,0.012362637362637362,1
5.621,78059,1240,1629,10,8,6,9,389,0.26554273049872534,5.004768392370572,50,0.16191598662550122,1
6.477,865,96,64,0,0,1,0,7,0.5283236994219653,3.8529411764705883,0,0.11445086705202312,1
4.793,174,56,5,0,0,0,0,0,0.10919540229885058,0.0,0,0.1206896551724138,1
5.936,98937,1073,1888,3,7,3,7,365,0.29002294389358885,5.599116781157998,54,0.10150904110696705,1
5.131,5105,459,142,0,1,0,0,2,0.2568070519098923,8.185185185185185,3,0.15905974534769834,1
5.031,557,90,33,0,0,0,1,2,0.27827648114901254,6.85,0,0.21005385996409337,1
5.025,72804,1133,1488,8,8,3,8,237,0.22027635844184384,4.919051512673753,46,0.28190758749519257,1
5.11,72716,189,2492,0,1,6,4,81,0.25173276857912974,6.113502935420744,50,0.2222069420760218,1
4.945,271,53,12,0,0,0,0,1,0.4095940959409594,4.148148148148148,0,0.08487084870848709,1
4.84,68,23,5,0,0,0,0,1,0.3235294117647059,9.0,0,0.07352941176470588,1
5.126,1249,128,52,0,0,0,0,2,0.31705364291433147,4.37037037037037,0,0.18574859887910328,1
5.345,316,53,12,0,0,0,0,2,0.7310126582278481,3.142857142857143,0,0.18354430379746836,1
3.193,536,536,1,1,0,0,0,0,0.19029850746268656,5.761904761904762,0,0.5298507462686567,1
3.981,107,39,7,0,0,0,0,0,0.5887850467289719,2.0,0,0.2336448598130841,1
5.053,208,52,9,0,0,1,0,1,0.28846153846153844,2.5,0,0.0673076923076923,1
5.696,24955,144,935,1,3,0,10,20,0.3162893207773993,6.08843537414966,32,0.1692246042877179,1
4.67,44,35,3,1,0,0,0,0,0.4090909090909091,8.0,0,0.13636363636363635,1
5.522,12828,384,366,1,1,0,2,40,0.28476769566573124,6.007220216606498,8,0.109526036794512,1
5.321,8307,1127,234,0,0,2,4,5,0.17467196340435778,6.022222222222222,0,0.24557602022390754,1
4.931,81,28,7,1,0,1,0,1,0.3333333333333333,3.0,0,0.1728395061728395,1
5.354,17540,359,647,0,6,0,2,13,0.20444697833523376,6.273333333333333,4,0.18261117445838085,1
5.441,16353,310,576,3,9,0,2,50,0.2718767198679141,5.858356940509915,20,0.16125481563015961,1
4.484,25,25,1,1,0,0,0,1,0.44,6.0,0,0.04,1
5.361,2455,110,70,0,2,0,0,10,0.31608961303462324,8.59375,10,0.11486761710794298,1
5.178,3801,115,147,0,2,2,0,0,0.23257037621678506,8.541666666666666,14,0.20310444619836884,1
5.354,33796,180,1166,0,1,0,0,0,0.25236714404071486,7.2226277372262775,60,0.1456977157060007,1
4.78,121,73,6,0,0,0,0,1,0.4297520661157025,3.1666666666666665,0,0.04132231404958678,1
6.253,294,50,25,1,1,0,0,2,0.564625850340136,3.0,0,0.15306122448979592,1
5.964,1409,89,17,0,0,0,0,0,0.37686302342086586,6.644444444444445,7,0.11710432931156849,1
5.431,44446,359,1523,1,11,0,8,68,0.2772352967646132,6.008203445447088,47,0.2240246591369302,1
5.183,34654,2533,1033,1,0,0,4,57,0.239914584174987,6.037383177570093,20,0.24995671495354072,1
3.213,740,123,27,1,0,0,0,1,0.8378378378378378,6.875,0,0.03918918918918919,1
4.659,1955,119,79,0,0,0,0,7,0.26138107416879797,4.314814814814815,0,0.3554987212276215,1
5.528,160812,1570,3110,5,39,11,14,24,0.26220058204611596,5.756182795698924,377,0.1534711339949755,1
4.823,243,232,4,1,0,0,0,0,0.4567901234567901,3.2083333333333335,0,0.01646090534979424,1
4.567,132,132,1,0,0,0,1,0,0.21212121212121213,0.0,0,0.015151515151515152,1
4.698,77,52,4,2,0,0,0,1,0.3246753246753247,5.0,0,0.19480519480519481,1
5.441,16353,310,576,3,9,0,2,50,0.2718767198679141,5.858356940509915,20,0.16125481563015961,1
5.388,86084,177,2553,8,3,6,12,0,0.26230193764230286,4.329411764705882,53,0.20244180103155057,1
5.186,1466,121,18,0,0,0,0,0,0.40313778990450205,2.746153846153846,1,0.01296043656207367,1
3.333,218872,109227,69,1,4,0,6,2,0.2502010307394276,3.6486486486486487,0,0.0024169377535728643,1
5.558,41034,1784,602,6,15,1,3,151,0.28315543208071353,5.980044345898005,16,0.07886143198323342,1
3.625,16,15,2,0,0,0,0,1,0.75,5.0,0,0.0625,1
6.024,36644,36418,12,1,0,0,0,0,0.03452134046501474,4.555555555555555,0,0.0009551359021940836,1
5.635,17261,302,522,0,0,0,0,0,0.2293609871965703,7.229390681003585,25,0.15433636521638375,1
6.076,994,85,13,0,0,0,0,0,0.41951710261569414,7.257142857142857,7,0.059356136820925554,1
5.507,66108,785,1523,6,7,2,8,321,0.2669268469776729,4.912216532553036,48,0.18247413323652206,1
5.534,73950,482,2136,2,8,4,10,30,0.28572008113590264,6.206788511749347,76,0.1473292765382015,1
5.417,193,66,10,0,0,0,0,2,0.3005181347150259,6.833333333333333,0,0.12435233160621761,1
5.793,90797,16271,1768,6,7,6,9,324,0.28807119177946405,4.987359550561798,60,0.16235117900371157,1
5.263,181,44,8,0,0,1,0,2,0.2983425414364641,6.0,0,0.07734806629834254,1
4.467,94,23,6,0,0,0,0,0,0.24468085106382978,7.0,0,0.26595744680851063,1
5.749,63700,401,1576,1,6,12,12,161,0.2741758241758242,5.049079754601227,34,0.11764521193092621,1
5.085,23158,265,693,0,0,0,0,0,0.3148372052854305,8.405797101449275,106,0.1569220139908455,1
5.626,99189,2990,1582,1,9,0,23,368,0.2926433374668562,4.972212922664881,49,0.05281835687425017,1
5.608,15878,452,501,2,0,0,4,54,0.3171054288953269,6.163841807909605,39,0.07872528026199774,1
5.299,216,73,7,0,0,0,0,1,0.3287037037037037,6.0,0,0.10648148148148148,1
5.99,41155,41146,3,1,0,0,0,0,0.044636131697242135,0.0,0,4.859676831490706e-05,1
5.238,1486,99,20,0,0,0,0,0,0.40713324360699865,2.762962962962963,1,0.014131897711978465,1
5.84,112509,2793,2302,4,7,6,9,463,0.28810139633273785,5.815972222222222,84,0.12450559510794693,1
5.064,78,38,4,0,0,0,0,1,0.3076923076923077,3.3333333333333335,0,0.11538461538461539,1
5.963,1718,118,58,0,6,1,1,0,0.18684516880093133,4.738095238095238,2,0.07043073341094296,1
4.537,473,54,26,0,0,0,0,0,0.2029598308668076,6.636363636363637,0,0.2748414376321353,1
4.842,85,19,8,0,0,0,0,1,0.3764705882352941,3.2857142857142856,0,0.1411764705882353,1
5.555,12599,289,514,1,7,0,4,26,0.2789903960631796,6.245967741935484,12,0.13556631478688785,1
5.483,37391,351,1165,0,8,0,7,23,0.2913802786766869,6.128860489882854,43,0.13206386563611563,1
5.69,55344,54880,16,1,0,2,0,0,0.003125903440300665,7.333333333333333,0,0.001915293437409656,1
5.582,12974,1398,172,1,0,0,0,41,0.3268074610759982,2.9745454545454546,0,0.09549868968706644,1
6.016,27419,27374,9,1,0,0,0,0,0.03439220978153835,0.0,0,0.00047412378277836536,1
5.558,41034,1784,602,6,15,1,3,151,0.28315543208071353,5.980044345898005,16,0.07886143198323342,1
4.116,75445,75151,9,1,32,3,5,27,0.2538140367154881,6.029126213592233,0,0.022824574193120818,1
5.081,103649,2121,2259,4,8,4,22,220,0.2601086358768536,5.866354044548652,125,0.29004621366342176,1
5.594,4288,4287,2,1,0,0,0,0,0.2196828358208955,17.0,23,0.032182835820895525,1
6.017,53490,8192,29,1,0,2,0,0,0.036006730229949525,6.0,0,0.0005608524957936063,1
4.815,74,64,3,0,0,0,0,1,0.3108108108108108,9.5,0,0.13513513513513514,1
5.076,95,47,5,0,0,0,0,2,0.3157894736842105,5.5,0,0.08421052631578947,1
5.248,874,59,36,1,0,1,5,4,0.32151029748283755,3.823529411764706,0,0.23684210526315788,1
5.212,31895,173,1074,2,1,2,0,0,0.2747452578774103,4.45088161209068,27,0.22768459006113811,1
6.027,74549,50,1465,1,0,2,0,0,0.033145984520248424,8.333333333333334,0,0.01963809038350615,1
5.004,715,59,36,0,0,1,5,3,0.26573426573426573,3.757575757575758,0,0.2601398601398601,1
